task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
107	e7/e03e5c	7a45b967-193b-4c04-82de-f9a7bc13c6c1	deNovoAssembly (9)	ABORTED	-	2020-09-22 21:31:49.816	-	-	-	-	-	-	-
108	b5/a39592	9dbba580-8985-4ca3-a151-37178a30ffb5	deNovoAssembly (12)	ABORTED	-	2020-09-22 21:31:49.922	-	-	-	-	-	-	-
109	75/506614	509c0fbd-0f91-40b0-83b2-f2a5dafd7748	remapReads (4)	ABORTED	-	2020-09-22 21:32:20.215	-	-	-	-	-	-	-
113	68/9973d2	7cbb0fa8-528e-4f5c-af69-ef0b0fd26bff	pilonPolishing (1)	ABORTED	-	2020-09-22 21:35:10.263	-	-	-	-	-	-	-
114	fd/bdac0b	dbbe4236-d5a9-4286-a93c-0c897973be79	removeDuplicates (8)	ABORTED	-	2020-09-22 21:35:30.139	-	-	-	-	-	-	-
116	e5/c2f2b7	00bb4fd0-07b5-41a5-81d8-b22f4c487b16	mergeAssemblyMapping (5)	ABORTED	-	2020-09-22 21:35:31.938	-	-	-	-	-	-	-
118	d7/eea4be	292a9290-9ff0-4dc0-8fd4-48c3e9406f48	generateConsensus (2)	ABORTED	-	2020-09-22 21:35:40.378	-	-	-	-	-	-	-
119	d1/fda9a5	3c1ee7f2-b702-4ceb-998e-69f633ea6b8a	generateConsensus (3)	ABORTED	-	2020-09-22 21:35:50.558	-	-	-	-	-	-	-
121	75/af2438	8e0a54e7-103a-4c7d-bf02-c02abda89985	callVariants (6)	ABORTED	-	2020-09-22 21:35:51.649	-	-	-	-	-	-	-
122	e1/e5be8d	66fbc948-4240-49ef-862d-83c1d0efdd61	annotateConsensus (1)	ABORTED	-	2020-09-22 21:36:50.442	-	-	-	-	-	-	-
